Item.Type,Publication.Year,Author,Title,Publication.Title,DOI,Pages,Issue,Volume,Notes,Noymeir,Salaetal,Introduction/Review,Methods,Results,Discussion,Support?,Investigation,Description,Other notes
journalArticle,1997,"Epstein, H. E.; Lauenroth, W. K.; Burke, I. C.",EFFECTS OF TEMPERATURE AND SOIL TEXTURE ON ANPP IN THE U.S. GREAT PLAINS,Ecology,10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2,2628-2631,8,78,,1,1,1,0,0,1,1,1,"ANPP in Great Plains, but including MAT and MAP, and comparing sand and clay.",
journalArticle,1998,"Lane, Diana R.; Coffin, Debra P.; Lauenroth, William K.",Effects of soil texture and precipitation on above-êground net primary productivity and vegetation structure across the Central Grassland region of the United States,Journal of Vegetation Science,10.2307/3237123,239-250,2,9,,1,1,1,1,1,1,0,1,Only found it at SGS site (driest)--seems when considering annual ANPP with annual precip it may be hard to find ITE. Instead soil texture seems to be more important for plant community structure.,
journalArticle,1998,"Singh, J. S.; Milchunas, D. G.; Lauenroth, W. K.",Soil water dynamics and vegetation patterns in a semiarid grassland,Plant ecology,,77-89,,134,,1,0,1,0,0,0,NA,0,,"Plant, slope, and soil texture effect on soil water"
journalArticle,1998,"Van Rooyen, N.; Van Rooyen, M. W.",VEGETATION OF THE SOUTH-WESTERN ARID KALAHARI: AN OVERVIEW,Transactions of the Royal Society of South Africa,10.1080/00359199809520381,113-140,2,53,,1,0,1,0,0,0,NA,0,,
thesis,1999,"Andersen, Gidske L.","Change and variation in a hyper-arid cultural landscape: A merhodological approach using remote sensing timeseries (Landsat MSS and TM, 1973-1996) from the Wadi vegetation of the eastern desert of Egypt",,,,,NA,,1,0,1,0,0,0,NA,0,,
journalArticle,1999,"Knight, Dennis H.",15 Ponderosa and Limber Pine Woodlands,"Savannas, barrens, and rock outcrop plant communities of North America",,249,,NA,,1,0,1,0,0,0,NA,0,,Implies ITE is about plants with deeper roots.
journalArticle,1999,"Lauenroth, William K.; Burke, Ingrid C.; Gutmann, Myron P.",The structure and function of ecosystems in the central North American grassland region,Great Plains Research,,223-259,,NA,,1,1,1,0,0,0,NA,0,,
journalArticle,1999,"Menezes, R. S. C.; Salcedo, I. H.",Influence of tree species on the herbaceous understory and soil chemical characteristics in a silvopastoral system in semi-arid northeastern Brazil,Revista Brasileira de Ci√™ncia do Solo,10.1590/S0100-06831999000400008,817-826,4,23,,1,0,0,0,0,1,NA,0,,
thesis,1999,"Menezes, Romulo Simoes Cezar",Soil -plant -herbivore interactions and nutrient dynamics in semiarid grazing systems in northeastern Brazil and western USA,,,,,NA,Relevant chapter published as -úInfluence of tree species on the herbaceous understory and soil chemical characteristics in a silvopastoral system in semi-arid northeastern Brazil-ù</p> </div>,1,0,NA,NA,NA,NA,NA,NA,,
journalArticle,2000,"Nouvellon, Yann; Rambal, Serge; Seen, D. Lo; Moran, M. Susan; Lhomme, Jean-Paul; Begue, Agnes; Chehbouni, A. Ghani; Kerr, Yann",Modelling of daily fluxes of water and carbon from shortgrass steppes,Agricultural and Forest Meteorology,,137-153,3-Feb,100,,0,1,0,0,0,1,1,0,,
bookSection,2000,"West, Neil E.; Young, James A.",Intermountain valleys and lower mountain slopes,North American Terrestrial Vegetation,,255-284,,NA,,1,0,,,,,,,,
journalArticle,2001,"Fernandez-Illescas, Coral Pilar; Porporato, Amilcare; Laio, Franscesco; Rodriguez-Iturbe, Ignacio",The ecohydrological role of soil texture in a water-êlimited ecosystem,Water Resources Research,10.1029/2000WR000121,2863-2872,12,37,,1,0,1,0,0,1,1,1,"Investigated texture x cimate effect on tree & grass species in La Copita, TX.",
journalArticle,2001,"Laio, Francesco; Porporato, Amilcare; Fernandez-Illescas, C. P.; Rodriguez-Iturbe, I.",Plants in water-controlled ecosystems: active role in hydrologic processes and response to water stress: IV. Discussion of real cases,Advances in Water Resources,,745-762,7,24,,1,0,1,0,0,1,1,1,,
bookSection,2001,"Sala, Osvaldo E.",Productivity of temperate grasslands,Terrestrial global productivity,,285-300,,NA,,1,1,1,0,0,0,NA,0,,
journalArticle,2002,"Porporato, A.; D'odorico, P.; Laio, Francesco; Ridolfi, Luca; Rodriguez-Iturbe, I.",Ecohydrology of water-controlled ecosystems,Advances in Water Resources,,1335-1348,12-Aug,25,,1,0,1,0,0,0,NA,0,,"Seems very similar to ""Plants in water-controlled ecosystems"" above"
journalArticle,2003,"Brown, G.; Al-Mazrooei, S.",Rapid vegetation regeneration in a seriously degraded Rhanterium epapposum community in northern Kuwait after 4 years of protection,Journal of environmental management,,387-395,4,68,,1,0,0,0,0,1,1,0,,
journalArticle,2003,"Brown, Gary; Peacock, John; Loughland, Ron; Aldrami, Ghaleb A.",Coastal and terrestrial ecosystem management requirements in the GCC States,"Environmental Research and Wildlife Development Agency, Abu Dhabi",,,,NA,,1,0,1,0,0,0,NA,0,,
book,2003,"Brown, Karl Eric","Mapping and modeling leafy spurge spread in Theodore Roosevelt National Park, North Dakota using spatial information and spatial statistics",,,,,NA,,1,0,1,0,0,0,NA,0,,
journalArticle,2003,"Martinez, Armando J.; Lopez-Portillo, Jorge",Allometry of Prosopis glandulosa var. torreyana along a topographic gradient in the Chihuahuan desert,Journal of Vegetation Science,10.1111/j.1654-1103.2003.tb02133.x,111-120,1,14,,1,0,0,0,0,1,NA,0,,
thesis,2003,"Ogle, Kiona","Desert dogma revisited: Physiological and growth responses of Larrea tridentata (Creosotebush) to annual, seasonal, and pulse precipitation",,,,,NA,,1,1,0,0,0,1,NA,0,,
journalArticle,2004,"Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damian A.; Schaeffer, Sean M.",Water pulses and biogeochemical cycles in arid and semiarid ecosystems,Oecologia,,221-235,,141,,1,1,1,0,0,0,NA,0,Review with a proposed hypothesis that N mineralization follows an inverted inverse texture effect--holding more water in shallow layers is better for microbial process that are limited to shallow soils.,"Referred to as the ""inverse-inverse texture hypothesis"""
journalArticle,2004,"Huxman, Travis E.; Cable, Jessica M.; Ignace, Danielle D.; Eilts, J. Alex; English, Nathan B.; Weltzin, Jake; Williams, David G.",Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture,Oecologia,,295-305,,141,,1,1,1,0,0,1,NA,0,,"Motivated hypotheses, but results were mixed."
journalArticle,2004,"Kroel-Dulay, Gyorgy; Odor, Peter; Peters, Debra P. C.; Hochstrasser, Tamara",Distribution of plant species at a biome transition zone in New Mexico,Journal of Vegetation Science,10.1111/j.1654-1103.2004.tb02292.x,531-538,4,15,,1,1,0,0,0,1,NA,0,,
journalArticle,2004,"Suau, Roberto Lazaro",Implications of precipitation on vegetation of water-limited lands,,,,,NA,,0,1,1,0,0,0,NA,0,,
journalArticle,2005,"Fravolini, Alessandra; Hultine, Kevin R.; Brugnoli, Enrico; Gazal, Rico; English, Nathan B.; Williams, David G.",Precipitation pulse use by an invasive woody legume: the role of soil texture and pulse size,Oecologia,,618-627,,144,,1,0,1,0,0,0,1,1,Very useful paper showing how mesquite used different sizes of water pulses. Short-term effects of ITE!,"Use this one, it's important."
bookSection,2005,"Tongway, David J.; Ludwig, John A.",Heterogeneity in Arid and Semiarid Lands,Ecosystem Function in Heterogeneous Landscapes,,189-205,,NA,,1,0,1,0,0,0,NA,0,,
journalArticle,2006,"Bradford, John B.; Lauenroth, William K.; Burke, Ingrid C.; Paruelo, Jose M.","The Influence of Climate, Soils, Weather, and Land Use on Primary Production and Biomass Seasonality in the US Great Plains",Ecosystems,10.1007/s10021-004-0164-1,934-950,6,9,,1,1,1,0,0,1,0,0,,
thesis,2006,"Cable, Jessica Marie",Precipitation effects on soil carbon cycling in the Sonoran Desert,,,,,NA,,1,0,1,0,0,1,NA,0,,Cites Austin et al.
bookSection,2006,"D'Odorico, Paolo; Porporato, Amilcare",SOIL MOISTURE DYNAMICS IN WATER-LIMITED ECOSYSTEMS,Dryland Ecohydrology,,31-46,,NA,,1,0,1,0,0,0,NA,0,,
journalArticle,2006,"Fernandez, Daniel P.; Neff, Jason C.; Belnap, Jayne; Reynolds, Richard L.",Soil respiration in the cold desert environment of the Colorado Plateau (USA): abiotic regulators and thresholds,Biogeochemistry,,247-265,,78,,1,1,1,0,0,1,1,0,"Found ITE on moisture (more moisture at depth for sandier soil), but not for soil respiration.",
thesis,2006,"Ignace, Danielle Denise",Functional responses of Sonoran Desert plant species to precipitation,,,,,NA,Relevant material published and seemingly included elsewhere.,1,0,NA,NA,NA,NA,NA,NA,,
thesis,2006,"Kurc, Shirley Anne","Dynamics and controls of ecosystem scale water, carbon, and energy cycling at semiarid grassland and shrubland",,,,,NA,,1,1,0,0,0,1,NA,0,,
journalArticle,2006,"Ludwig, Fulco; Jewitt, Rebecca A.; Donovan, Lisa A",Nutrient and water addition effects on day- and night-time conductance and transpiration in a C3 desert annual,Oecologia,10.1007/s00442-006-0367-6,219-225,2,148,,1,0,0,0,0,1,NA,0,,
journalArticle,2006,"Miller, Mark E.; Belnap, Jayne; Beatty, Susan W.; Reynolds, Richard L.","Performance of Bromus tectorum L. in relation to soil properties, water additions, and chemical amendments in calcareous soils of southeastern Utah, USA",Plant and Soil,10.1007/s11104-006-0058-4,45309,2-Jan,288,,1,0,0,0,0,1,1,0,Investigated BRTE performance in different seasons--found ITE in some but not all seasons.,Worth reading
journalArticle,2006,"Norris, Jodi R.; Jackson, Stephen T.; Betancourt, Julio L.",Classification tree and minimum-êvolume ellipsoid analyses of the distribution of ponderosa pine in the western USA,Journal of Biogeography,10.1111/j.1365-2699.2005.01396.x,342-360,2,33,,1,0,0,1,0,0,NA,0,,
thesis,2007,"Begzsuren, Shurentuya",Integrated desertification assessment in Southern Mongolia,,,,,NA,,1,0,1,0,1,1,0,1,"Compared biomass across soil types in a 40x40km area, highest biomass in sandy loam not loamy sand.",
journalArticle,2007,"Brown, Gary; Aspinall, Simon; Sakkir, Sabitha",The vegetation of the coastal white sands at Taweela (Abu Dhabi Emirate),Tribulus,,45428,,17,,1,0,1,0,0,0,NA,0,,
journalArticle,2007,"Bucini, Gabriela; Hanan, Niall P.",A continental-êscale analysis of tree cover in African savannas,Global Ecology and Biogeography,10.1111/j.1466-8238.2007.00325.x,593-605,5,16,,1,1,1,0,0,1,0,1,Tree cover in African savannas.,
journalArticle,2007,"Buxbaum, C. A. Z.; Vanderbilt, K.",Soil heterogeneity and the distribution of desert and steppe plant species across a desert-grassland ecotone,Journal of Arid Environments,,617-632,4,69,,1,0,0,1,0,1,NA,0,,
journalArticle,2007,"Collins, D. B. G.; Bras, R. L.",Plant rooting strategies in water-limited ecosystems,Water Resources Research,10.1029/2006WR005541,,6,43,,1,0,0,0,0,1,NA,0,,Definitely worth reading--rooting depth related to soil texture and precip!
journalArticle,2007,"Ignace, Danielle D.; Huxman, Travis E.; Weltzin, Jake F.; Williams, David G.",Leaf gas exchange and water status responses of a native and non-native grass to precipitation across contrasting soil surfaces in the Sonoran Desert,Oecologia,10.1007/s00442-007-0670-x,401-413,3,152,,1,0,0,0,0,1,NA,0,,
journalArticle,2007,"Miller, M.; Mann, Rebecca K.; Goldstein, Harland; Yount, James D.",Ecological investigations of the federally endangered Shivwits milk-vetch (Astragalus ampullarioides)-2006 annual report,US Geological Survey Open-File Report,,,,1050,,1,0,1,0,0,0,NA,0,,
book,2007,"Rodriguez-Iturbe, Ignacio; Porporato, Amilcare",Ecohydrology of water-controlled ecosystems: soil moisture and plant dynamics,,,,,NA,,1,0,,,,,,,,
journalArticle,2007,"Smart, Alexander J.; Dunn, Barry H.; Johnson, Patricia S.; Xu, Lan; Gates, Roger N.",Using weather data to explain herbage yield on three Great Plains plant communities,Rangeland Ecology & Management,,146-153,2,60,,1,1,1,0,0,0,NA,0,,
journalArticle,2007,"Strohbach, Ben J.; Petersen, Andreas",Vegetation of the central Kavango woodlands in Namibia: An example from the Mile 46 Livestock Development Centre,South African Journal of Botany,,391-401,3,73,,1,1,0,0,0,1,NA,0,,
thesis,2008,"Buyantuyev, Alexander",Effects of urbanization on landscape pattern and ecosystem function in Phoenix: A multiscale study,,,,,NA,"Relevant chapter published as ""Urbanization alters spatiotemporal patterns of ecosystem primary production: A case study of the Phoenix metropolitan region, USA",1,0,NA,NA,NA,NA,NA,NA,,
journalArticle,2008,"Cable, Jessica M.; Ogle, Kiona; Williams, David G.; Weltzin, Jake F.; Huxman, Travis E.",Soil texture drives responses of soil respiration to precipitation pulses in the Sonoran Desert: implications for climate change,Ecosystems,,961-979,,11,,1,0,0,0,0,1,1,0,,
journalArticle,2008,"Grigg, Alasdair M.; Veneklaas, Erik J.; Lambers, Hans",Water relations and mineral nutrition of closely related woody plant species on desert dunes and interdunes,Australian Journal of Botany,,27-43,1,56,,1,0,1,0,0,1,NA,0,,
journalArticle,2008,"Grigg, Alasdair M.; Veneklaas, Erik J.; Lambers, Hans",Water relations and mineral nutrition of Triodia grasses on desert dunes and interdunes,Australian Journal of Botany,,408-421,5,56,,1,0,1,0,0,1,NA,0,,
thesis,2008,"Petersen, A.",Pedodiversity of southern African drylands,,,408,,NA,,1,1,1,0,0,1,1,1,Small side-project investigating ITE on dune vs inter-dune soil,Added this after I found reference to it in Herpel (2008)
thesis,2008,"Herpel, Nicole",The Scale-Dependent Variability of Topsoil Properties Reflecting Ecosystem Patchiness in Drylands of Southern Africa,,,,,NA,,1,1,1,0,0,0,NA,0,,
journalArticle,2008,"Ivanov, Valeriy Y.; Bras, Rafael L.; Vivoni, Enrique R.",Vegetation-êhydrology dynamics in complex terrain of semiarid areas: 2. Energy-êwater controls of vegetation spatiotemporal dynamics and topographic niches of favorability,Water Resources Research,10.1029/2006WR005595,2006WR005595,3,44,,1,0,1,0,0,1,NA,0,,Definitely worth reading--models veg-topography and mentions the need for more study of ITE!
journalArticle,2008,"Knapp, Alan K.; Beier, Claus; Briske, David D.; Classen, Aimee T.; Luo, Yiqi; Reichstein, Markus; Smith, Melinda D.; Smith, Stanley D.; Bell, Jesse E.; Fay, Philip A.",Consequences of more extreme precipitation regimes for terrestrial ecosystems,Bioscience,,811-821,9,58,,1,0,1,0,0,0,NA,0,,
journalArticle,2008,"Koechy, Martin",Effects of simulated daily precipitation patterns on annual plant populations depend on life stage and climatic region,BMC Ecology,10.1186/1472-6785-8-4,4,1,8,,1,1,1,0,0,0,NA,0,,
book,2008,"Koenig, Peter Andrew",Gas-exchange responses to pulse rain events by native Hawaiian dry forest vine seedlings and the effect of interaction with a non-native grass,,,,,NA,,1,0,1,0,0,0,NA,0,,
journalArticle,2008,"Lauenroth, William K.; Milchunas, Daniel G.; Sala, Osvaldo E.; Burke, Ingrid C.; Morgan, Jack A.",Net primary production in the shortgrass steppe,"Ecology of the shortgrass steppe: a long term perspective. Oxford Univ. Press, NY",,270-305,,NA,,1,1,1,0,0,0,1,1,,I think there is some new data presented: NRCS data for just NE CO and comparing sand and clay sites and WHC
bookSection,2008,"Tsoar, H.",Land Use and its Effect on the Mobilization and Stabilization of the North-Western Negev Sand Dunes,Arid Dune Ecosystems,,79-89,,200,,1,1,1,0,0,0,NA,0,,
journalArticle,2008,"Weng, Ensheng; Luo, Yiqi",Soil hydrological properties regulate grassland ecosystem responses to multifactor global change: A modeling analysis,Journal of Geophysical Research: Biogeosciences,10.1029/2007JG000539,2007JG000539,G3,113,,1,1,1,0,0,1,1,1,"Nice simulations across soil textures under low, normal, and high precipitation scenarios.",
journalArticle,2009,"Armstrong, R. D.; Fitzpatrick, J.; Rab, M. A.; Abuzar, M.; Fisher, P. D.; O'Leary, G. J.",Advances in precision agriculture in south-eastern Australia. III. Interactions between soil properties and water use help explain spatial variability of crop production in the Victorian Mallee,Crop and Pasture Science,,870-884,9,60,,1,1,0,0,0,1,NA,0,,
journalArticle,2009,"Buyantuyev, A.; Wu, Jianguo","Urbanization alters spatiotemporal patterns of ecosystem primary production: A case study of the Phoenix metropolitan region, USA",Journal of Arid Environments,,512-520,5-Apr,73,,1,0,1,1,1,0,1,1,Tested ITE in urban area.,
journalArticle,2009,"Caylor, Kelly K.; Scanlon, Todd M.; Rodriguez-Iturbe, Ignacio",Ecohydrological optimization of pattern and processes in water-êlimited ecosystems: A trade-êoff-êbased hypothesis,Water Resources Research,10.1029/2008WR007230,2008WR007230,8,45,,1,0,1,0,0,1,1,1,Trade-off hypothesis between water use and drought resistence,
thesis,2009,"Grigg, Alasdair M.","An ecophysiological approach to determine problems associated with mine-site rehabilitation: a case study in the Great Sandy Desert, north-western Australia",,,,,NA,"Chapters published as ""Water relations and mineral nutrition of closely related woody plant species on desert dunes and interdunes"" & ""Water relations and mineral nutrition of Triodia grasses on desert dunes and interdunes""",1,1,NA,NA,NA,NA,NA,NA,,
